time,dayOfWeek,temperature,windSpeed,wxPhraseShort,relativeHumidity,_collecte_le
2026-06-30T11:00:00+0200,Tuesday,23,10,P Cloudy,54,2026-06-30T08:36:16.283689
2026-06-30T12:00:00+0200,Tuesday,25,10,P Cloudy,49,2026-06-30T08:36:16.283689
2026-06-30T13:00:00+0200,Tuesday,26,9,P Cloudy,45,2026-06-30T08:36:16.283689
2026-06-30T14:00:00+0200,Tuesday,26,10,M Cloudy,44,2026-06-30T08:36:16.283689
2026-06-30T15:00:00+0200,Tuesday,26,10,M Cloudy,43,2026-06-30T08:36:16.283689
2026-06-30T16:00:00+0200,Tuesday,27,10,Cloudy,40,2026-06-30T08:36:16.283689
2026-06-30T17:00:00+0200,Tuesday,27,12,Cloudy,39,2026-06-30T08:36:16.283689
2026-06-30T18:00:00+0200,Tuesday,27,14,P Cloudy,40,2026-06-30T08:36:16.283689
2026-06-30T19:00:00+0200,Tuesday,27,13,P Cloudy,38,2026-06-30T08:36:16.283689
2026-06-30T20:00:00+0200,Tuesday,26,15,P Cloudy,42,2026-06-30T08:36:16.283689
2026-06-30T21:00:00+0200,Tuesday,25,14,Sunny,47,2026-06-30T08:36:16.283689
2026-06-30T22:00:00+0200,Tuesday,23,12,P Cloudy,51,2026-06-30T08:36:16.283689
2026-06-30T23:00:00+0200,Tuesday,21,12,Clear,55,2026-06-30T08:36:16.283689
2026-07-01T00:00:00+0200,Wednesday,20,11,Clear,59,2026-06-30T08:36:16.283689
2026-07-01T01:00:00+0200,Wednesday,19,10,Clear,60,2026-06-30T08:36:16.283689
2026-07-01T02:00:00+0200,Wednesday,18,9,Clear,63,2026-06-30T08:36:16.283689
2026-07-01T03:00:00+0200,Wednesday,17,9,Clear,66,2026-06-30T08:36:16.283689
2026-07-01T04:00:00+0200,Wednesday,16,9,P Cloudy,67,2026-06-30T08:36:16.283689
2026-07-01T05:00:00+0200,Wednesday,16,8,P Cloudy,69,2026-06-30T08:36:16.283689
2026-07-01T06:00:00+0200,Wednesday,15,8,Sunny,72,2026-06-30T08:36:16.283689
2026-07-01T07:00:00+0200,Wednesday,16,8,M Sunny,71,2026-06-30T08:36:16.283689
2026-07-01T08:00:00+0200,Wednesday,17,10,Sunny,69,2026-06-30T08:36:16.283689
2026-07-01T09:00:00+0200,Wednesday,19,13,Sunny,65,2026-06-30T08:36:16.283689
2026-07-01T10:00:00+0200,Wednesday,20,13,Sunny,61,2026-06-30T08:36:16.283689
2026-07-01T11:00:00+0200,Wednesday,22,14,P Cloudy,57,2026-06-30T08:36:16.283689
2026-07-01T12:00:00+0200,Wednesday,23,15,P Cloudy,52,2026-06-30T08:36:16.283689
2026-07-01T13:00:00+0200,Wednesday,24,15,P Cloudy,48,2026-06-30T08:36:16.283689
2026-07-01T14:00:00+0200,Wednesday,24,15,P Cloudy,45,2026-06-30T08:36:16.283689
2026-07-01T15:00:00+0200,Wednesday,25,16,M Cloudy,44,2026-06-30T08:36:16.283689
2026-07-01T16:00:00+0200,Wednesday,26,15,P Cloudy,40,2026-06-30T08:36:16.283689
2026-07-01T17:00:00+0200,Wednesday,27,16,P Cloudy,39,2026-06-30T08:36:16.283689
2026-07-01T18:00:00+0200,Wednesday,27,17,P Cloudy,39,2026-06-30T08:36:16.283689
2026-07-01T19:00:00+0200,Wednesday,26,17,P Cloudy,40,2026-06-30T08:36:16.283689
2026-07-01T20:00:00+0200,Wednesday,25,18,Sunny,44,2026-06-30T08:36:16.283689
2026-07-01T21:00:00+0200,Wednesday,24,16,Sunny,48,2026-06-30T08:36:16.283689
2026-07-01T22:00:00+0200,Wednesday,22,12,Clear,53,2026-06-30T08:36:16.283689
2026-07-01T23:00:00+0200,Wednesday,20,11,Clear,59,2026-06-30T08:36:16.283689
2026-07-02T00:00:00+0200,Thursday,19,9,Clear,67,2026-06-30T08:36:16.283689
2026-07-02T01:00:00+0200,Thursday,18,9,Clear,73,2026-06-30T08:36:16.283689
2026-07-02T02:00:00+0200,Thursday,17,8,Clear,78,2026-06-30T08:36:16.283689
2026-07-02T03:00:00+0200,Thursday,16,7,Clear,81,2026-06-30T08:36:16.283689
2026-07-02T04:00:00+0200,Thursday,15,7,Clear,84,2026-06-30T08:36:16.283689
2026-07-02T05:00:00+0200,Thursday,15,8,Clear,86,2026-06-30T08:36:16.283689
2026-07-02T06:00:00+0200,Thursday,15,8,Sunny,88,2026-06-30T08:36:16.283689
2026-07-02T07:00:00+0200,Thursday,16,8,M Sunny,86,2026-06-30T08:36:16.283689
2026-07-02T08:00:00+0200,Thursday,17,10,Sunny,80,2026-06-30T08:36:16.283689
2026-07-02T09:00:00+0200,Thursday,19,12,Sunny,70,2026-06-30T08:36:16.283689
2026-07-02T10:00:00+0200,Thursday,21,13,Sunny,61,2026-06-30T08:36:16.283689
2026-07-02T11:00:00+0200,Thursday,22,15,Sunny,58,2026-06-30T08:36:16.283689
2026-07-02T12:00:00+0200,Thursday,23,16,P Cloudy,55,2026-06-30T08:36:16.283689
2026-07-02T13:00:00+0200,Thursday,24,17,P Cloudy,57,2026-06-30T08:36:16.283689
2026-07-02T14:00:00+0200,Thursday,24,18,P Cloudy,57,2026-06-30T08:36:16.283689
2026-07-02T15:00:00+0200,Thursday,25,19,P Cloudy,55,2026-06-30T08:36:16.283689
2026-07-02T16:00:00+0200,Thursday,26,21,M Cloudy,55,2026-06-30T08:36:16.283689
2026-07-02T17:00:00+0200,Thursday,25,21,M Cloudy,55,2026-06-30T08:36:16.283689
2026-07-02T18:00:00+0200,Thursday,25,21,P Cloudy,56,2026-06-30T08:36:16.283689
2026-07-02T19:00:00+0200,Thursday,25,19,M Cloudy,53,2026-06-30T08:36:16.283689
2026-07-02T20:00:00+0200,Thursday,24,18,M Cloudy,56,2026-06-30T08:36:16.283689
2026-07-02T21:00:00+0200,Thursday,22,17,P Cloudy,60,2026-06-30T08:36:16.283689
2026-07-02T22:00:00+0200,Thursday,21,13,P Cloudy,63,2026-06-30T08:36:16.283689
2026-07-02T23:00:00+0200,Thursday,20,12,P Cloudy,70,2026-06-30T08:36:16.283689
2026-07-03T00:00:00+0200,Friday,18,10,M Clear,76,2026-06-30T08:36:16.283689
2026-07-03T01:00:00+0200,Friday,17,9,P Cloudy,80,2026-06-30T08:36:16.283689
2026-07-03T02:00:00+0200,Friday,17,8,Clear,85,2026-06-30T08:36:16.283689
2026-07-03T03:00:00+0200,Friday,16,7,Clear,87,2026-06-30T08:36:16.283689
2026-07-03T04:00:00+0200,Friday,15,6,Clear,90,2026-06-30T08:36:16.283689
2026-07-03T05:00:00+0200,Friday,15,5,Clear,92,2026-06-30T08:36:16.283689
2026-07-03T06:00:00+0200,Friday,15,5,M Sunny,92,2026-06-30T08:36:16.283689
2026-07-03T07:00:00+0200,Friday,15,4,P Cloudy,88,2026-06-30T08:36:16.283689
2026-07-03T08:00:00+0200,Friday,17,5,P Cloudy,83,2026-06-30T08:36:16.283689
2026-07-03T09:00:00+0200,Friday,19,6,M Sunny,70,2026-06-30T08:36:16.283689
2026-07-03T10:00:00+0200,Friday,21,7,Sunny,59,2026-06-30T08:36:16.283689
